Classe,Enhancements,Consumíveis,Observações
CaV,"Dauntless/Anima/Vainglory","Fate/Destruction Elixir + Scroll of Enrage","Loop taunt Dage with 3 and enrage. Don't hit your 4 skill as it is a HoT unless Dauntless."
VDK,"Dauntless/Anima/Vainglory","Fate/Destruction Elixir + Potent honor","Use your 5 skill to decay when he says ""I possess the power of the legion at my disposal"" to prevent him from healing."
LOO,"Health Vamp/Forge/Vainglory","Body + Potent Honor","Focus on dage, keep buffs up but do not use your heal."
LR,"Dauntless/Wiz/Vainglory","Sage/Malevolence Elixir + Potent Honor","Focus on dage, keep buffs up."
