Classe,Enhancements,Consumíveis,Observações
CaV,"Health Vamp or Dauntless/Anima/Vainglory","Fate/Destruction Elixir + Scroll of Enrage","Loop taunt Dage with 3 and enrage. Don't hit your 4 skill as it is a HoT unless Dauntless."
LDK,"Valiance or Dauntless/Anima/Vainglory","Fate/Destruction Elixir + Potent honor","Loop your 5 skill as it has decay."
LOO,"Health Vamp/Forge/Vainglory","Body + Potent Honor","Focus on dage, keep buffs up but do not use your heal."
AP,"Health Vamp/Forge/Vainglory","Fate/Destruction Elixir + Potent honor","Focus on dage, debuff him and stack broken seals. Do not use your heal."
